n	v0	v1	v2	v3-B4	v3-B8	v3-B16	v3-B32	v3-B64
64	0.0005648	0.0003934	0.0003464	0.000897	0.000741	0.000509	0.000673	0.000682
128	0.0043554	0.0020856	0.0086996	0.004052	0.002744	0.003009	0.003255	0.004275
192	0.0129324	0.004777	0.0199324	0.00997	0.008106	0.006004	0.007919	0.009338
256	0.030059	0.0123588	0.1072718	0.023057	0.014978	0.015074	0.018527	0.02171
320	0.0524558	0.0217548	0.0961534	0.042007	0.028825	0.027336	0.033328	0.042516
384	0.093384	0.0395266	0.2832882	0.073659	0.050162	0.045999	0.057434	0.074869
448	0.149895	0.0590032	0.2886918	0.11874	0.083132	0.074208	0.09029	0.120289
512	0.3500824	0.1028178	1.3952262	0.201861	0.143678	0.118284	0.174734	0.199572
576	0.3200194	0.1185878	2.0489768	0.248498	0.169087	0.157374	0.192417	0.247131
640	0.4660608	0.176382	3.8220292	0.343539	0.265207	0.217367	0.265724	0.335314
704	0.7191118	0.280251	4.6938896	0.447962	0.336409	0.292403	0.348713	0.447876
768	1.2135258	0.3652292	6.2673874	0.606033	0.441928	0.384498	0.466114	0.585953
832	1.3290402	0.474122	8.175621	0.736589	0.559624	0.48928	0.579398	0.730684
896	1.7626652	0.590366	9.9972444	0.928514	0.706462	0.607271	0.718792	0.951832
960	2.2005118	0.826102	12.8701662	1.181601	0.851805	0.83781	0.906711	1.161579
1024	9.2279268	0.9955634	21.068989	2.031251	1.167554	1.136316	1.425323	1.847004
