n	B4	B8	B16	B32	B64
64	0.000897	0.000741	0.000509	0.000673	0.000682
128	0.004052	0.002744	0.003009	0.003255	0.004275
192	0.009970	0.008106	0.006004	0.007919	0.009338
256	0.023057	0.014978	0.015074	0.018527	0.021710
320	0.042007	0.028825	0.027336	0.033328	0.042516
384	0.073659	0.050162	0.045999	0.057434	0.074869
448	0.118740	0.083132	0.074208	0.090290	0.120289
512	0.201861	0.143678	0.118284	0.174734	0.199572
576	0.248498	0.169087	0.157374	0.192417	0.247131
640	0.343539	0.265207	0.217367	0.265724	0.335314
704	0.447962	0.336409	0.292403	0.348713	0.447876
768	0.606033	0.441928	0.384498	0.466114	0.585953
832	0.736589	0.559624	0.489280	0.579398	0.730684
896	0.928514	0.706462	0.607271	0.718792	0.951832
960	1.181601	0.851805	0.837810	0.906711	1.161579
1024	2.031251	1.167554	1.136316	1.425323	1.847004
