n	v0	v1	v2	v3
64	0.0005648	0.0003934	0.0003464	0.0002332
128	0.0043554	0.0020856	0.0086996	0.0019816
192	0.0129324	0.004777	0.0199324	0.0062984				
256	0.030059	0.0123588	0.1072718	0.014509				
320	0.0524558	0.0217548	0.0961534	0.0271296				
384	0.093384	0.0395266	0.2832882	0.0454978				
448	0.149895	0.0590032	0.2886918	0.0737566				
512	0.3500824	0.1028178	1.3952262	0.1208012				
576	0.3200194	0.1185878	2.0489768	0.1296906				
640	0.4660608	0.176382	3.8220292	0.2326584				
704	0.7191118	0.280251	4.6938896	0.2485122				
768	1.2135258	0.3652292	6.2673874	0.3132696				
832	1.3290402	0.474122	8.175621	0.4188696			
896	1.7626652	0.590366	9.9972444	0.5072696
960	2.2005118	0.826102	12.8701662	0.6214992				
1024	9.2279268	0.9955634	21.068989	0.857989
